iter	RMSE
0	0.4652468155
1	0.4515831556
2	0.4381837904
3	0.4273830212
4	0.4165729757
5	0.4054755898
6	0.3945235328
7	0.3855380006
8	0.3759419294
9	0.3665576005
10	0.3588474861
11	0.3503018506
12	0.3433772941
13	0.3351906357
14	0.3287367167
15	0.3241911594
16	0.3178594959
17	0.3120309529
18	0.3062931633
19	0.3003328853
20	0.2960784037
21	0.2915282483
22	0.2867276035
23	0.2822113859
24	0.2775902033
25	0.2733523377
26	0.2696421806
27	0.2654239571
28	0.2624030565
29	0.258561644
30	0.2551512939
31	0.2516865624
32	0.2486094373
33	0.2460600701
34	0.2435243775
35	0.2414857778
36	0.2388391328
37	0.2369345262
38	0.2349566646
39	0.2326241694
40	0.2307360567
41	0.2287322106
42	0.2266322463
43	0.224733206
44	0.2228238806
45	0.2213505754
46	0.2195805406
47	0.2178699356
48	0.2165777419
49	0.215140124
50	0.213846299
51	0.2125320327
52	0.2114727055
53	0.2101224829
54	0.2093727183
55	0.2084054148
56	0.2075692869
57	0.206686683
58	0.2056627444
59	0.2046406788
60	0.2036870595
61	0.202942091
62	0.2018600488
63	0.2009162892
64	0.200164222
65	0.1994581724
66	0.1987536439
67	0.1980966301
68	0.1973144918
69	0.1963892175
70	0.1957532743
71	0.1949741724
72	0.194365128
73	0.1936847884
74	0.1931804095
75	0.1928284675
76	0.1922030709
77	0.1916035269
78	0.1913206071
79	0.1907186037
80	0.1902157623
81	0.1897903525
82	0.1891168009
83	0.1886466346
84	0.1881110541
85	0.1877075396
86	0.1870709274
87	0.186536083
88	0.1863343134
89	0.1859774419
90	0.185580931
91	0.1851639328
92	0.1846730219
93	0.1843302148
94	0.1839116565
95	0.1836602078
96	0.1836132639
97	0.183192915
98	0.182940595
99	0.1827297276
100	0.182313667
101	0.1819899905
102	0.1818821278
103	0.181564372
104	0.1811384672
105	0.1806304057
106	0.1804804883
107	0.1801855101
108	0.1796158158
109	0.1791683441
110	0.1787225877
111	0.1784778967
112	0.178180167
113	0.1779163043
114	0.1776322825
115	0.1775296279
116	0.1772549749
117	0.1770281715
118	0.1766475245
119	0.1765741591
120	0.1764070144
121	0.1759871392
122	0.1756690916
123	0.1754130045
124	0.1752947047
125	0.1750767815
126	0.1749477029
127	0.1748763169
128	0.1746632197
129	0.174433435
130	0.1743100239
131	0.1740894027
132	0.1738653457
133	0.1736789518
134	0.1734535294
135	0.1733277787
136	0.1731941725
137	0.1729284619
138	0.1726501661
139	0.1726092182
140	0.1723019004
141	0.1721500731
142	0.1719304255
143	0.171803456
144	0.1717087333
145	0.1714522903
146	0.171317531
147	0.1709847157
148	0.1708798761
149	0.1706694797
150	0.1704063503
151	0.1702272471
152	0.169912223
153	0.1697915652
154	0.1696145893
155	0.1694401598
156	0.1692885612
157	0.1690846141
158	0.1688010167
159	0.1686074134
160	0.1683117735
161	0.1682118393
162	0.1681153506
163	0.1679545544
164	0.1677623076
165	0.1674344822
166	0.1673488703
167	0.1671282831
168	0.1669217551
169	0.1668493394
170	0.1667126451
171	0.1665563187
172	0.1663917786
173	0.1663324339
174	0.1662920495
175	0.1661267064
176	0.1659750266
177	0.1657537132
178	0.1656107125
179	0.1654060453
180	0.1652549796
181	0.1650777132
182	0.1649411352
183	0.1647099966
184	0.1646307032
185	0.1645273896
186	0.1643053924
187	0.1641099484
188	0.163915325
189	0.1636888474
190	0.1636468586
191	0.16347878
192	0.1633145986
193	0.1632606625
194	0.1631083036
195	0.1630388055
196	0.1628971789
197	0.162869815
198	0.1626792754
199	0.1625307311
200	0.1623620792
201	0.1621326774
202	0.1620668059
203	0.1619859196
204	0.1618082322
205	0.1616294237
206	0.1614303909
207	0.1613763194
208	0.1612309216
209	0.1611616373
210	0.1609418192
211	0.1608561364
212	0.1606133394
213	0.1605630833
214	0.1602674515
215	0.1600060535
216	0.1599622891
217	0.1597861599
218	0.1595662404
219	0.159313241
220	0.1591446836
221	0.1588683409
222	0.1586570981
223	0.1585567119
224	0.1583842261
225	0.1581076816
226	0.1580830292
227	0.1577998109
228	0.1575422012
229	0.1575279667
230	0.1574894685
231	0.1573763503
232	0.1572035183
233	0.1571527833
234	0.1571408588
235	0.1568585194
236	0.156617686
237	0.1565542132
238	0.1564822019
239	0.1563849386
240	0.1561584069
241	0.1560383412
242	0.1558187126
243	0.1557840642
244	0.1556191254
245	0.1555162681
246	0.1553226146
247	0.1552661205
248	0.1551632425
249	0.1550104756
250	0.1549215818
251	0.1549029572
252	0.1548339222
253	0.1547501008
254	0.1545252744
255	0.1545048071
256	0.154362206
257	0.1542683655
258	0.1541509884
259	0.154047717
260	0.1539215366
261	0.1537168961
262	0.1535574945
263	0.1534282415
264	0.1533642311
265	0.1531737347
266	0.1530815519
267	0.1530090077
268	0.1528710005
269	0.1526786083
270	0.1526681894
271	0.1526599794
272	0.1526230608
273	0.1524533771
274	0.1523560736
275	0.1522645457
276	0.1522492642
277	0.1521276624
278	0.152117342
279	0.1520983154
280	0.1519157148
281	0.1517352532
282	0.1517282653
283	0.1514735187
284	0.1513025865
285	0.1511853872
286	0.1511735928
287	0.1509161488
288	0.1508485687
289	0.1508390629
290	0.1507463948
291	0.1506302421
292	0.1504716831
293	0.1503651953
294	0.1502460461
295	0.150239229
296	0.1500830467
297	0.1499169668
298	0.1498073543
299	0.1496791819
300	0.149493661
301	0.1494760878
302	0.149335848
303	0.1491869734
304	0.1490250262
305	0.1489903346
306	0.1489811772
307	0.1489540913
308	0.1489395851
309	0.1487695664
310	0.1487099416
311	0.1486785456
312	0.1486003806
313	0.1485349002
314	0.1485222965
315	0.1484971445
316	0.1484051024
317	0.1483710436
318	0.1483510349
319	0.1483390336
320	0.1482660182
321	0.1482450139
322	0.1480884143
323	0.1479116533
324	0.1477803304
325	0.147715761
326	0.1476995975
327	0.1475242183
328	0.1474969865
329	0.1474845917
330	0.1474739781
331	0.1473636253
332	0.1471912863
333	0.1471768466
334	0.1470007156
335	0.1469184122
336	0.1466934598
337	0.1466412868
338	0.146604907
339	0.1465406207
340	0.1463958317
341	0.1463606746
342	0.1463507406
343	0.1461968203
344	0.1460988
345	0.1460907892
346	0.1460242338
347	0.1460124403
348	0.1458301547
349	0.1457804212
350	0.1456205154
351	0.1454945875
352	0.145431122
353	0.1453342248
354	0.1453316902
355	0.1452199779
356	0.1451781647
357	0.145128693
358	0.1450067081
359	0.1448975342
360	0.1447303856
361	0.1447118339
362	0.1445650603
363	0.1444902023
364	0.1444075022
365	0.1443849739
366	0.1443813012
367	0.1443325545
368	0.1442950035
369	0.1442131339
370	0.1441024762
371	0.1440078879
372	0.1439658427
373	0.143833356
374	0.1437980814
375	0.1437449724
376	0.1435855427
377	0.1435672508
378	0.1434769617
379	0.1434606596
380	0.1433603164
381	0.1432817178
382	0.1432440644
383	0.143104597
384	0.1430216664
385	0.1429491304
386	0.1427810953
387	0.1427400095
388	0.142701856
389	0.1426092879
390	0.1425697436
391	0.1424594625
392	0.1424507503
393	0.1424380404
394	0.1423312293
395	0.142321009
396	0.1423051259
397	0.1422191201
398	0.1422036072
399	0.1422007735
400	0.1421835157
401	0.1420896998
402	0.142087854
403	0.1420497269
404	0.1419460854
405	0.1419227548
406	0.1416999415
407	0.1416706575
408	0.1414268927
409	0.1414102042
410	0.1413450861
411	0.141242965
412	0.1411906595
413	0.1411826995
414	0.1410954242
415	0.1410278864
416	0.1409071958
417	0.1408601797
418	0.1408513071
419	0.1408092999
420	0.1407774159
421	0.1406459211
422	0.1406131393
423	0.1405673572
424	0.1405648356
425	0.140542315
426	0.1404510602
427	0.1403565029
428	0.1402968146
429	0.1401259074
430	0.1400257422
431	0.1400189176
432	0.1399167536
433	0.1398000776
434	0.1396037646
435	0.1395969925
436	0.139581284
437	0.1395738127
438	0.1395590313
439	0.1395033312
440	0.1394682773
441	0.1393519451
442	0.1393454886
443	0.1393326056
444	0.1393255872
445	0.1392279802
446	0.1391916073
447	0.139185715
448	0.1391149793
449	0.1389880487
450	0.1389438246
451	0.1388492669
452	0.1388263103
453	0.1387271133
454	0.1385797293
455	0.1385674236
456	0.1385172515
457	0.1384520815
458	0.1384485154
459	0.1383760455
460	0.1383325121
461	0.1383193209
462	0.1382485923
463	0.1382212241
464	0.13821371
465	0.1381497506
466	0.1381482071
467	0.1380900634
468	0.1380259376
469	0.1380112977
470	0.1379785421
471	0.1379077251
472	0.1378705973
473	0.1378564175
474	0.1378280021
475	0.1377992637
476	0.1376670174
477	0.1376624429
478	0.1375275008
479	0.1374499368
480	0.1374268802
481	0.1374129215
482	0.137377545
483	0.1373059673
484	0.1372793914
485	0.1371779281
486	0.1371634194
487	0.1370941818
488	0.1370847508
489	0.1370385004
490	0.1369463378
491	0.1368898559
492	0.1368341151
493	0.1367698031
494	0.136762072
495	0.136637958
496	0.1365107328
497	0.1365030638
498	0.1364912821
499	0.1364768071
500	0.1364293057
501	0.1364181381
502	0.1363845212
503	0.1363295751
504	0.136305476
505	0.1362896803
506	0.1362198368
507	0.1360829892
508	0.1360429637
509	0.1359728161
510	0.1359652856
511	0.1359545286
512	0.1358541996
513	0.1358497727
514	0.1357432886
515	0.1356895869
516	0.1356523192
517	0.1356481261
518	0.1356035218
519	0.1355849652
520	0.1355436535
521	0.1355011692
522	0.1354568962
523	0.1354462737
524	0.1354230147
525	0.1353063278
526	0.1352577165
527	0.1351882438
528	0.1351779812
529	0.1351689043
530	0.1350933609
531	0.1350278328
532	0.1350172801
533	0.1349864718
534	0.1349793414
535	0.1348865052
536	0.1348241396
537	0.1348216463
538	0.1348139288
539	0.1347830974
540	0.1346676479
541	0.1345476083
542	0.1345217554
543	0.1344915186
544	0.1343987526
545	0.1342984674
546	0.1342819414
547	0.1342774589
548	0.1342681711
549	0.1342610592
550	0.134252107
551	0.1341632797
552	0.1341157642
553	0.1340595571
554	0.1339785315
555	0.1339741372
556	0.1339311719
557	0.1338778096
558	0.1338042869
559	0.133651861
560	0.1335727862
561	0.1335110815
562	0.1335052707
563	0.1334540397
564	0.1334314509
565	0.1333966406
566	0.1333912126
567	0.1333529337
568	0.1332387293
569	0.1331861415
570	0.1330834451
571	0.1329909834
572	0.1329318255
573	0.1329185111
574	0.1328951692
575	0.1327960452
576	0.1327920738
577	0.1327530507
578	0.132742833
579	0.132670392
580	0.1326680344
581	0.1325911626
582	0.1325652838
583	0.1325116554
584	0.132381724
585	0.1322674523
586	0.1321422792
587	0.1320744917
588	0.1319773727
589	0.1318976672
590	0.1318910806
591	0.1318762409
592	0.1318378217
593	0.1317206044
594	0.1317111676
595	0.1316999354
596	0.1316535338
597	0.1316048308
598	0.1314732092
599	0.1314462515
600	0.1313672257
601	0.1313541439
602	0.1313412927
603	0.1312920159
