iter	Passed	Remaining
0	14	21837
1	38	28635
2	54	27256
3	71	26719
4	88	26313
5	103	25814
6	119	25578
7	136	25414
8	151	25161
9	167	24977
10	183	24853
11	199	24727
12	215	24633
13	231	24544
14	247	24461
15	262	24366
16	278	24316
17	294	24248
18	310	24171
19	325	24088
20	341	24025
21	357	24003
22	372	23934
23	388	23915
24	404	23863
25	420	23821
26	435	23774
27	451	23725
28	460	23353
29	475	23297
30	491	23276
31	508	23322
32	524	23310
33	540	23295
34	555	23269
35	571	23247
36	586	23206
37	602	23182
38	618	23163
39	633	23131
40	649	23100
41	664	23075
42	680	23044
43	695	23017
44	710	22983
45	726	22957
46	742	22949
47	759	22964
48	775	22963
49	793	23008
50	809	22988
51	825	22985
52	842	23005
53	859	23022
54	875	22998
55	890	22972
56	906	22943
57	923	22948
58	941	22985
59	956	22955
60	972	22933
61	987	22905
62	1003	22879
63	1018	22852
64	1034	22832
65	1049	22799
66	1065	22783
67	1081	22775
68	1097	22764
69	1113	22741
70	1129	22723
71	1144	22706
72	1160	22685
73	1175	22659
74	1191	22633
75	1200	22493
76	1215	22464
77	1230	22440
78	1237	22255
79	1252	22223
80	1267	22204
81	1283	22188
82	1298	22174
83	1314	22158
84	1331	22173
85	1344	22106
86	1360	22097
87	1376	22082
88	1391	22063
89	1407	22047
90	1423	22033
91	1438	22017
92	1454	22000
93	1470	21990
94	1485	21976
95	1503	21991
96	1510	21847
97	1526	21831
98	1541	21814
99	1557	21799
100	1572	21782
101	1588	21768
102	1594	21624
103	1609	21607
104	1625	21591
105	1640	21576
106	1656	21561
107	1671	21549
108	1687	21537
109	1703	21521
110	1719	21516
111	1735	21511
112	1752	21516
113	1769	21515
114	1786	21516
115	1802	21505
116	1818	21491
117	1833	21476
118	1849	21459
119	1859	21378
120	1874	21367
121	1890	21352
122	1905	21337
123	1921	21318
124	1930	21233
125	1946	21223
126	1962	21212
127	1978	21204
128	1993	21188
129	2009	21179
130	2025	21166
131	2041	21160
132	2057	21147
133	2073	21133
134	2088	21120
135	2098	21041
136	2113	21024
137	2128	21011
138	2144	20996
139	2160	20985
140	2175	20972
141	2191	20962
142	2207	20949
143	2223	20937
144	2239	20923
145	2254	20909
146	2270	20893
147	2285	20879
148	2301	20864
149	2316	20847
150	2332	20841
151	2348	20827
152	2364	20820
153	2380	20806
154	2396	20793
155	2412	20782
156	2427	20766
157	2443	20750
158	2458	20734
159	2474	20722
160	2490	20710
161	2507	20708
162	2523	20696
163	2538	20679
164	2554	20664
165	2569	20648
166	2584	20633
167	2600	20619
168	2616	20604
169	2631	20588
170	2646	20571
171	2662	20555
172	2677	20539
173	2692	20520
174	2708	20507
175	2725	20502
176	2743	20504
177	2760	20499
178	2777	20495
179	2793	20483
180	2808	20466
181	2823	20450
182	2839	20436
183	2855	20422
184	2872	20414
185	2887	20398
186	2902	20382
187	2917	20362
188	2933	20345
189	2948	20331
190	2964	20320
191	2981	20309
192	2997	20297
193	3012	20282
194	3028	20266
195	3043	20249
196	3059	20234
197	3074	20217
198	3089	20201
199	3105	20184
200	3121	20172
201	3136	20156
202	3159	20188
203	3176	20180
204	3192	20167
205	3208	20151
206	3223	20134
207	3238	20118
208	3254	20103
209	3269	20085
210	3285	20070
211	3301	20056
212	3316	20038
213	3331	20020
214	3346	20003
215	3362	19989
216	3379	19978
217	3394	19963
218	3410	19947
219	3426	19933
220	3441	19919
221	3457	19905
222	3473	19891
223	3491	19888
224	3508	19880
225	3523	19865
226	3539	19850
227	3554	19832
228	3570	19816
229	3588	19813
230	3603	19798
231	3619	19784
232	3635	19771
233	3652	19758
234	3668	19746
235	3684	19731
236	3699	19713
237	3714	19696
238	3731	19686
239	3747	19676
240	3764	19665
241	3780	19654
242	3796	19638
243	3812	19623
244	3827	19608
245	3843	19593
246	3859	19577
247	3875	19565
248	3891	19550
249	3907	19539
250	3923	19522
251	3939	19510
252	3955	19495
253	3970	19478
254	3985	19460
255	4001	19443
256	4017	19429
257	4033	19414
258	4048	19400
259	4064	19386
260	4080	19369
261	4095	19351
262	4111	19336
263	4126	19321
264	4142	19304
265	4157	19288
266	4173	19272
267	4189	19257
268	4204	19240
269	4220	19224
270	4236	19210
271	4251	19194
272	4267	19180
273	4283	19166
274	4299	19151
275	4315	19139
276	4331	19123
277	4347	19108
278	4362	19093
279	4379	19081
280	4394	19065
281	4410	19050
282	4426	19034
283	4441	19018
284	4457	19002
285	4473	18988
286	4490	18980
287	4506	18966
288	4522	18951
289	4538	18935
290	4553	18920
291	4569	18903
292	4587	18896
293	4603	18883
294	4618	18867
295	4634	18851
296	4650	18835
297	4666	18821
298	4682	18808
299	4699	18797
300	4715	18784
301	4732	18774
302	4749	18764
303	4766	18754
304	4782	18738
305	4798	18722
306	4813	18706
307	4829	18690
308	4845	18676
309	4860	18659
310	4877	18647
311	4893	18632
312	4908	18614
313	4923	18596
314	4939	18581
315	4954	18565
316	4970	18549
317	4985	18531
318	5001	18516
319	5016	18498
320	5031	18481
321	5047	18466
322	5063	18450
323	5078	18432
324	5094	18420
325	5110	18402
326	5125	18386
327	5141	18370
328	5156	18353
329	5172	18337
330	5187	18321
331	5203	18305
332	5218	18287
333	5234	18272
334	5249	18255
335	5264	18238
336	5280	18222
337	5296	18208
338	5314	18200
339	5332	18193
340	5351	18188
341	5368	18177
342	5384	18162
343	5399	18146
344	5415	18129
345	5430	18112
346	5446	18096
347	5461	18080
348	5480	18074
349	5496	18060
350	5512	18044
351	5528	18029
352	5544	18015
353	5560	17999
354	5576	17984
355	5591	17969
356	5607	17952
357	5622	17936
358	5638	17919
359	5653	17902
360	5668	17886
361	5685	17871
362	5701	17857
363	5718	17846
364	5735	17834
365	5752	17822
366	5767	17805
367	5783	17789
368	5798	17773
369	5814	17757
370	5830	17741
371	5845	17724
372	5860	17708
373	5878	17697
374	5894	17683
375	5910	17668
376	5930	17665
377	5946	17649
378	5962	17634
379	5977	17616
380	5992	17600
381	6008	17585
382	6024	17570
383	6040	17555
384	6056	17539
385	6072	17524
386	6088	17510
387	6105	17496
388	6121	17482
389	6136	17466
390	6152	17451
391	6168	17435
392	6183	17418
393	6199	17401
394	6214	17385
395	6230	17368
396	6245	17351
397	6261	17336
398	6277	17322
399	6300	17326
400	6318	17316
401	6341	17321
402	6358	17308
403	6374	17292
404	6391	17281
405	6407	17266
406	6423	17250
407	6439	17234
408	6454	17217
409	6473	17208
410	6488	17193
411	6504	17176
412	6520	17160
413	6535	17143
414	6551	17127
415	6566	17111
416	6582	17095
417	6598	17079
418	6613	17061
419	6629	17046
420	6644	17030
421	6660	17013
422	6676	16999
423	6692	16985
424	6710	16973
425	6728	16962
426	6746	16953
427	6772	16962
428	6789	16949
429	6805	16935
430	6824	16926
431	6840	16910
432	6856	16894
433	6871	16878
434	6888	16866
435	6904	16850
436	6920	16834
437	6936	16818
438	6952	16803
439	6968	16787
440	6984	16771
441	7000	16758
442	7016	16741
443	7031	16724
444	7047	16708
445	7064	16694
446	7079	16677
447	7095	16660
448	7111	16645
449	7127	16630
450	7143	16616
451	7159	16599
452	7175	16583
453	7190	16566
454	7206	16552
455	7222	16535
456	7237	16518
457	7253	16502
458	7269	16486
459	7284	16470
460	7300	16454
461	7316	16437
462	7332	16422
463	7347	16405
464	7363	16389
465	7379	16373
466	7396	16360
467	7411	16344
468	7428	16329
469	7443	16312
470	7461	16302
471	7478	16287
472	7493	16271
473	7511	16259
474	7527	16243
475	7543	16227
476	7558	16210
477	7574	16194
478	7589	16178
479	7605	16162
480	7621	16146
481	7637	16130
482	7652	16113
483	7668	16096
484	7683	16079
485	7700	16066
486	7716	16051
487	7733	16037
488	7749	16021
489	7764	16005
490	7780	15988
491	7797	15975
492	7813	15959
493	7837	15960
494	7852	15943
495	7869	15929
496	7885	15913
497	7901	15898
498	7917	15882
499	7934	15868
500	7951	15854
501	7966	15837
502	7982	15822
503	7998	15805
504	8013	15789
505	8029	15773
506	8045	15758
507	8061	15741
508	8076	15725
509	8092	15709
510	8108	15693
511	8124	15677
512	8139	15660
513	8154	15643
514	8170	15627
515	8186	15611
516	8202	15595
517	8217	15578
518	8233	15562
519	8250	15549
520	8267	15534
521	8283	15519
522	8299	15503
523	8315	15488
524	8330	15471
525	8346	15454
526	8362	15439
527	8378	15423
528	8394	15408
529	8410	15392
530	8426	15378
531	8444	15365
532	8461	15351
533	8478	15337
534	8494	15321
535	8510	15306
536	8526	15290
537	8542	15274
538	8557	15257
539	8573	15241
540	8589	15226
541	8604	15209
542	8620	15192
543	8636	15176
544	8651	15160
545	8668	15146
546	8685	15132
547	8702	15118
548	8719	15104
549	8736	15089
550	8751	15073
551	8767	15056
552	8782	15040
553	8799	15025
554	8814	15008
555	8830	14992
556	8846	14976
557	8861	14959
558	8876	14943
559	8892	14926
560	8909	14912
561	8924	14895
562	8939	14878
563	8955	14862
564	8971	14846
565	8987	14830
566	9002	14814
567	9018	14798
568	9034	14782
569	9051	14768
570	9066	14751
571	9082	14734
572	9098	14718
573	9113	14702
574	9129	14685
575	9145	14670
576	9160	14654
577	9176	14638
578	9193	14623
579	9210	14609
580	9225	14593
581	9242	14577
582	9258	14562
583	9274	14546
584	9289	14530
585	9305	14514
586	9321	14498
587	9337	14483
588	9353	14467
589	9369	14451
590	9385	14435
591	9401	14419
592	9417	14403
593	9432	14386
594	9451	14375
595	9466	14358
596	9482	14342
597	9497	14326
598	9513	14310
599	9530	14295
600	9545	14278
601	9562	14264
602	9591	14267
603	9607	14252
604	9623	14235
605	9639	14220
606	9655	14205
607	9672	14190
608	9689	14176
609	9707	14162
610	9724	14148
611	9740	14132
612	9755	14115
613	9770	14099
614	9786	14083
615	9802	14066
616	9818	14050
617	9834	14035
618	9850	14019
619	9866	14003
620	9881	13986
621	9897	13970
622	9913	13955
623	9929	13939
624	9945	13923
625	9960	13905
626	9976	13890
627	9991	13873
628	10007	13857
629	10022	13840
630	10038	13825
631	10054	13808
632	10070	13792
633	10086	13776
634	10101	13760
635	10117	13743
636	10132	13727
637	10148	13711
638	10164	13695
639	10179	13678
640	10194	13662
641	10210	13645
642	10226	13630
643	10242	13614
644	10258	13597
645	10273	13581
646	10289	13565
647	10305	13549
648	10320	13532
649	10336	13516
650	10351	13500
651	10368	13485
652	10383	13468
653	10399	13452
654	10417	13439
655	10434	13424
656	10452	13411
657	10468	13395
658	10483	13378
659	10499	13362
660	10514	13346
661	10530	13329
662	10545	13313
663	10560	13296
664	10576	13280
665	10592	13264
666	10608	13248
667	10624	13233
668	10640	13217
669	10656	13201
670	10673	13186
671	10690	13171
672	10707	13157
673	10724	13142
674	10740	13127
675	10757	13113
676	10774	13098
677	10790	13081
678	10805	13065
679	10821	13049
680	10837	13033
681	10852	13016
682	10867	13000
683	10883	12983
684	10898	12966
685	10915	12952
686	10931	12936
687	10947	12920
688	10962	12903
689	10978	12887
690	10994	12871
691	11010	12855
692	11026	12840
693	11042	12824
694	11057	12807
695	11072	12791
696	11088	12774
697	11103	12758
698	11119	12742
699	11135	12725
700	11150	12709
701	11167	12694
702	11182	12677
703	11198	12661
704	11213	12645
705	11229	12628
706	11245	12612
707	11260	12596
708	11275	12579
709	11291	12563
710	11307	12547
711	11323	12531
712	11338	12515
713	11354	12498
714	11369	12482
715	11385	12466
716	11401	12450
717	11420	12438
718	11436	12422
719	11452	12407
720	11469	12392
721	11485	12376
722	11501	12360
723	11516	12343
724	11531	12326
725	11547	12311
726	11563	12295
727	11578	12278
728	11594	12262
729	11610	12246
730	11626	12230
731	11641	12214
732	11657	12198
733	11675	12184
734	11691	12168
735	11708	12154
736	11724	12138
737	11739	12121
738	11755	12105
739	11770	12089
740	11787	12073
741	11805	12060
742	11822	12045
743	11838	12029
744	11853	12012
745	11868	11996
746	11884	11980
747	11900	11963
748	11916	11948
749	11932	11932
750	11947	11915
751	11963	11899
752	11978	11883
753	12007	11879
754	12023	11863
755	12039	11848
756	12069	11846
757	12085	11830
758	12101	11814
759	12116	11797
760	12131	11780
761	12147	11764
762	12163	11748
763	12179	11732
764	12194	11716
765	12211	11701
766	12227	11685
767	12242	11668
768	12258	11652
769	12273	11636
770	12288	11619
771	12304	11603
772	12319	11586
773	12335	11570
774	12351	11554
775	12368	11539
776	12383	11523
777	12399	11506
778	12415	11490
779	12431	11475
780	12449	11461
781	12465	11445
782	12481	11429
783	12496	11412
784	12512	11396
785	12527	11380
786	12543	11363
787	12558	11347
788	12574	11331
789	12591	11316
790	12607	11300
791	12622	11284
